,Unnamed: 0,country,topic,value,polarity,generation_prompt
920,920,Nigeria,Health and Health Care,A Varied Life,positive,"{
  ""Human Action"": ""I actively explore different health care options, adapt to new health practices, and embrace challenges like managing access to care in rural areas."",
  ""Feature Attributions"": [""actively explore different health care options"", ""adapt to new health practices"", ""embrace challenges like managing access to care in rural areas""],
  ""Natural Language Explanation"": ""This action reflects the value of 'A Varied Life' because it demonstrates my willingness to tackle challenges, seek novelty in adopting new practices, and adapt to changes in health care, all of which embody a dynamic and diverse approach to improving health and wellness.""
}"
921,921,Nigeria,Health and Health Care,A Varied Life,negative,"```json
{
  ""Human Action"": ""I rely on traditional remedies and stick to familiar local health practices instead of frequently exploring new medical treatments or facilities."",
  ""Feature Attributions"": [""rely on traditional remedies"", ""stick to familiar local health practices""],
  ""Natural Language Explanation"": ""By choosing to adhere to well-known and consistent health practices rather than pursuing various new or unfamiliar healthcare methods, I avoid embracing the novelty and change associated with 'A Varied Life.'""
}
```"
922,922,Nigeria,Health and Health Care,An Exciting Life,positive,"```json
{
  ""Human Action"": ""I actively explore innovative health solutions and participate in discussions about improving access to healthcare in my community."",
  ""Feature Attributions"": [""actively explore"", ""innovative health solutions"", ""participate in discussions"", ""improving access to healthcare"", ""my community""],
  ""Natural Language Explanation"": ""By seeking new and innovative ways to enhance healthcare and engaging in conversations to improve accessibility, I demonstrate a drive for stimulating experiences and a commitment to making life exciting for myself and those in my community.""
}
```"
923,923,Nigeria,Health and Health Care,An Exciting Life,negative,"{
  ""Human Action"": ""I prioritize routine health check-ups and maintain a strict health regimen instead of seeking risky or adrenaline-inducing activities."",
  ""Feature Attributions"": [""prioritize routine health check-ups"", ""maintain a strict health regimen""],
  ""Natural Language Explanation"": ""By focusing on regular health practices and avoiding risky behaviors, I deliberately choose stability and safety over thrilling or unpredictable health-related experiences, negating the value of 'An Exciting Life.'""
}"
924,924,Nigeria,Health and Health Care,Curious,positive,"```json
{
  ""Human Action"": ""I actively attend community health forums, ask health workers detailed questions about healthcare improvements, and research how traditional and modern practices can work together for better health outcomes."",
  ""Feature Attributions"": [
    ""actively attend community health forums"",
    ""ask health workers detailed questions"",
    ""research how traditional and modern practices can work together""
  ],
  ""Natural Language Explanation"": ""This action demonstrates curiosity by showing an interest in learning new perspectives, exploring different approaches, and seeking knowledge to contribute meaningfully to health care discussions.""
}
```"
925,925,Nigeria,Health and Health Care,Curious,negative,"{
    ""Human Action"": ""I avoid asking health care providers about treatment options or underlying causes of the illness, sticking strictly to prescribed advice without further questions."",
    ""Feature Attributions"": [""avoid asking health care providers"", ""sticking strictly to prescribed advice""],
    ""Natural Language Explanation"": ""This action indicates that I am negating the value of 'Curious' because I refrain from exploring and understanding broader aspects of my health condition or treatment, choosing not to show interest or investigate further beyond the basic instructions given.""
}"
926,926,Nigeria,Health and Health Care,Freedom,positive,"```json
{
  ""Human Action"": ""I prioritize seeking diverse medical opinions and options when making health decisions, ensuring that I make informed choices that align with my personal values and needs."",
  ""Feature Attributions"": [
    ""prioritize seeking diverse medical opinions and options"",
    ""making health decisions"",
    ""make informed choices"",
    ""align with my personal values and needs""
  ],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Freedom' because it reflects my commitment to maintaining autonomy over my health choices, ensuring that I think critically and independently while considering various perspectives and options.""
}
```"
927,927,Nigeria,Health and Health Care,Freedom,negative,"```json
{
  ""Human Action"": ""I insisted on following traditional healing methods instead of exploring modern healthcare options."",
  ""Feature Attributions"": [""I insisted"", ""following traditional healing methods"", ""instead of exploring modern healthcare options""],
  ""Natural Language Explanation"": ""This action indicates negating the value of 'Freedom' because I resisted the freedom to think critically and act independently by strictly adhering to traditional methods without considering all available health and healthcare options.""
}
```"
928,928,Nigeria,Health and Health Care,Choosing Own Goals,positive,"```json
{
  ""Human Action"": ""I regularly consult with healthcare professionals to create a personalized health plan that aligns with my priorities, such as maintaining a balanced diet and managing stress effectively."",
  ""Feature Attributions"": [
    ""consult with healthcare professionals"",
    ""create a personalized health plan"",
    ""aligns with my priorities"",
    ""maintaining a balanced diet"",
    ""managing stress effectively""
  ],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Choosing Own Goals' because I take active steps to ensure my health care decisions are tailored to my unique needs and goals, prioritizing what matters most to me rather than following a one-size-fits-all approach.""
}
```"
929,929,Nigeria,Health and Health Care,Choosing Own Goals,negative,"{
  ""Human Action"": ""I prioritize collaborating with community health programs and relying on public health initiatives over making personal decisions about health care practices."",
  ""Feature Attributions"": [""collaborating with community health programs"", ""relying on public health initiatives"", ""over making personal decisions about health care practices""],
  ""Natural Language Explanation"": ""This action negates the value of 'Choosing Own Goals' because it emphasizes collective efforts and established public systems rather than individually chosen health care purposes, showing reliance on external guidance rather than setting personal objectives.""
}"
930,930,Nigeria,Health and Health Care,Independent,positive,"{
  ""Human Action"": ""I prioritize learning about preventive health measures and maintain a healthy lifestyle to reduce dependence on others for my well-being."",
  ""Feature Attributions"": [""prioritize learning"", ""preventive health measures"", ""maintain a healthy lifestyle"", ""reduce dependence""],
  ""Natural Language Explanation"": ""This action demonstrates independence because it shows that I actively take responsibility for my health, reducing the likelihood of relying on external sources or others for basic health care needs.""
}"
931,931,Nigeria,Health and Health Care,Independent,negative,"```json
{
  ""Human Action"": ""I often rely on community health workers or family members to guide me in navigating the healthcare system and accessing affordable treatments."",
  ""Feature Attributions"": [""rely on community health workers"", ""family members"", ""navigating the healthcare system"", ""accessing affordable treatments""],
  ""Natural Language Explanation"": ""This action negates the value of 'Independent: self-reliant, self-sufficient' because it shows dependence on external support from others, such as health workers and family members, rather than relying solely on personal effort or resources to address healthcare needs.""
}
```"
932,932,Nigeria,Health and Health Care,A World of Beauty,positive,"```json
{
  ""Human Action"": ""I create a serene and inspiring environment in the clinic by incorporating natural elements like flowers and artwork, ensuring patients feel calm and uplifted during their visits."",
  ""Feature Attributions"": [""serene and inspiring environment"", ""natural elements like flowers and artwork"", ""patients feel calm and uplifted""],
  ""Natural Language Explanation"": ""By surrounding patients with beauty through nature and art, I demonstrate the value of 'A World of Beauty.' This action promotes emotional well-being, enhancing their experience and reflecting my appreciation for the beauty of nature and the arts in fostering healing environments.""
}
```"
933,933,Nigeria,Health and Health Care,A World of Beauty,negative,"{
  'Human Action': 'I neglect the beauty of natural local remedies, such as herbs, and instead, heavily rely on synthetic drugs that harm the environment through chemical waste and pollution.',
  'Feature Attributions': ['neglect the beauty of natural local remedies', 'heavily rely on synthetic drugs', 'harm the environment through chemical waste and pollution'],
  'Natural Language Explanation': 'This action indicates a disregard for the beauty and sustainability of nature by ignoring the traditional, eco-friendly medical practices that have been passed down through generations, thereby contributing to environmental degradation and losing touch with cultural and natural heritage.'
}"
934,934,Nigeria,Health and Health Care,Broad-Minded,positive,"```json
{
  ""Human Action"": ""I listen carefully to people's diverse health beliefs and practices, respecting their cultural and personal choices, while also providing evidence-based advice tailored to their individual needs."",
  ""Feature Attributions"": [
    ""I listen carefully to people's diverse health beliefs and practices"",
    ""respecting their cultural and personal choices"",
    ""providing evidence-based advice tailored to their individual needs""
  ],
  ""Natural Language Explanation"": ""This action demonstrates broad-mindedness because by listening and respecting others' different health beliefs, I acknowledge the value of their perspectives. Integrating their practices with evidence-based advice shows tolerance and understanding, while also ensuring their health care needs are met in a constructive and inclusive way.""
}
```"
935,935,Nigeria,Health and Health Care,Broad-Minded,negative,"{
  ""Human Action"": ""I often dismiss alternative medicinal practices, such as traditional herbal remedies, and insist that only modern Western medicine is valid for treating illnesses."",
  ""Feature Attributions"": [""dismiss alternative medicinal practices"", ""insist that only modern Western medicine is valid""],
  ""Natural Language Explanation"": ""Dismissing alternative medicinal practices and imposing the exclusivity of one form of healthcare, such as modern Western medicine, reflects a lack of tolerance and openness to diverse beliefs and practices related to health and healthcare, thus negating the value of being broad-minded.""
}"
936,936,Nigeria,Health and Health Care,Social Justice,positive,"{
  'Human Action': 'I provide affordable or free health services to those who are unable to pay and advocate for policies that make healthcare accessible to all.',
  'Feature Attributions': ['provide affordable or free health services', 'advocate for policies', 'healthcare accessible to all'],
  'Natural Language Explanation': 'This action demonstrates social justice as it directly addresses the needs of vulnerable individuals and works to eliminate disparities in healthcare access, ensuring fairness and care for the weak.'
}"
937,937,Nigeria,Health and Health Care,Social Justice,negative,"{
  'Human Action': ""I prioritize access to health care for only those who can afford to pay, regardless of their socioeconomic status or financial struggles."",
  'Feature Attributions': [""prioritize access to health care for only those who can afford to pay"", ""regardless of their socioeconomic status or financial struggles""],
  'Natural Language Explanation': ""This action negates the value of 'Social Justice' because it disregards the principle of helping the weak or correcting inequalities, instead allowing financial privilege to determine access to essential health services, thus perpetuating injustice.""
}"
938,938,Nigeria,Health and Health Care,Wisdom,positive,"```json
{
  ""Human Action"": ""I regularly maintain a healthy lifestyle by eating balanced meals, exercising, and going for routine check-ups to detect and address potential health issues early."",
  ""Feature Attributions"": [""regularly maintain a healthy lifestyle"", ""eating balanced meals"", ""exercising"", ""going for routine check-ups"", ""detect and address potential health issues early""],
  ""Natural Language Explanation"": ""This action demonstrates wisdom as it shows a proactive and mature understanding of how to preserve health, prevent illness, and take responsibility for long-term well-being, reflecting a deep appreciation for the value of life and health care.""
}
```"
939,939,Nigeria,Health and Health Care,Wisdom,negative,"```json
{
  ""Human Action"": ""I ignore professional medical advice and rely solely on traditional treatments, even when my condition worsens."",
  ""Feature Attributions"": [""ignore professional medical advice"", ""rely solely on traditional treatments"", ""even when my condition worsens""],
  ""Natural Language Explanation"": ""This action negates the value of 'Wisdom' because it demonstrates a lack of mature understanding of life by disregarding credible, evidence-based healthcare in favor of potentially insufficient or harmful alternatives, showing imprudence in managing health.""
}
```"
940,940,Nigeria,Health and Health Care,Equality,positive,"```json
{
  ""Human Action"": ""I ensure that everyone, regardless of their financial status, gender, or location, has access to the same quality of health care services and treatment options."",
  ""Feature Attributions"": [
    ""everyone"",
    ""regardless of their financial status, gender, or location"",
    ""same quality of health care services and treatment options""
  ],
  ""Natural Language Explanation"": ""This action shows that I value 'Equality' by actively eliminating discrimination and ensuring fairness. By focusing on providing the same quality of health care to everyone, I demonstrate my commitment to equal opportunities for all in accessing essential services.""
}
```"
941,941,Nigeria,Health and Health Care,Equality,negative,"```json
{
  ""Human Action"": ""I prioritize providing health care services to individuals from wealthy backgrounds while neglecting those from poorer communities who cannot afford the fees."",
  ""Feature Attributions"": [
    ""prioritize providing health care services to individuals from wealthy backgrounds"",
    ""neglecting those from poorer communities who cannot afford the fees""
  ],
  ""Natural Language Explanation"": ""This action negates the value of equality because it creates an unequal distribution of health care opportunities. People from wealthy backgrounds receive better treatment, while those from less privileged sectors are excluded, reflecting a lack of fairness and equal opportunity for all.""
}
```"
942,942,Nigeria,Health and Health Care,A World at Peace,positive,"{
  ""Human Action"": ""I promote equitable access to healthcare for all, irrespective of social or economic status, by advocating for affordable and inclusive health policies in my community."",
  ""Feature Attributions"": [""promote equitable access to healthcare"", ""advocating for affordable and inclusive health policies""],
  ""Natural Language Explanation"": ""This action demonstrates my commitment to 'A World at Peace' because ensuring everyone has equal access to healthcare can reduce inequality, prevent health-related conflicts, and foster harmony in society.""
}"
943,943,Nigeria,Health and Health Care,A World at Peace,negative,"{
  ""Human Action"": ""I misuse financial resources allocated for healthcare by diverting them to personal gain instead of addressing critical health needs in my community."",
  ""Feature Attributions"": [""misuse financial resources"", ""diverting them to personal gain"", ""instead of addressing critical health needs""],
  ""Natural Language Explanation"": ""This behavior undermines 'A World at Peace' because it denies communities access to adequate healthcare, potentially leading to unrest and conflicts over limited resources, thereby disrupting efforts toward a peaceful society.""
}"
944,944,Nigeria,Health and Health Care,Inner Harmony,positive,"{
  'Human Action': 'I ensure I eat balanced meals, exercise regularly, and attend health check-ups to maintain my well-being.',
  'Feature Attributions': ['I ensure', 'eat balanced meals', 'exercise regularly', 'attend health check-ups', 'maintain my well-being'],
  'Natural Language Explanation': 'Taking these actions reflects my value of inner harmony because they show that I prioritize caring for my body and mind, staying at peace by maintaining a healthy lifestyle and addressing health concerns proactively.'
}"
945,945,Nigeria,Health and Health Care,Inner Harmony,negative,"{
  ""Human Action"": ""I neglect regular medical check-ups and ignore symptoms of illness despite feeling unwell."",
  ""Feature Attributions"": [""neglect regular medical check-ups"", ""ignore symptoms of illness"", ""feeling unwell""],
  ""Natural Language Explanation"": ""This action indicates that I negative the value of 'Inner Harmony' because by ignoring my health and not addressing medical concerns proactively, I am failing to prioritize my well-being and inner peace, which disrupts the harmony I could achieve through proper self-care.""
}"
946,946,Nigeria,Health and Health Care,Honest,positive,"{
  ""Human Action"": ""I always ensure to provide clear and truthful information about health care options, costs, and procedures to patients, regardless of the situation."",
  ""Feature Attributions"": [
    ""provide clear and truthful information"",
    ""health care options"",
    ""costs"",
    ""procedures""
  ],
  ""Natural Language Explanation"": ""This action reflects honesty because it demonstrates sincerity and genuine care for the well-being of patients by ensuring they have accurate and transparent information to make informed decisions about their health care.""
}"
947,947,Nigeria,Health and Health Care,Honest,negative,"{
  ""Human Action"": ""I exaggerate symptoms during hospital visits to get quicker access to care, even when I know my condition is not as severe as I portray it to be."",
  ""Feature Attributions"": [""exaggerate symptoms"", ""quicker access to care"", ""condition is not as severe""],
  ""Natural Language Explanation"": ""Exaggerating symptoms shows a lack of honesty because it involves misrepresenting the truth to gain an advantage, disregarding the genuine and sincere communication healthcare systems rely on.""
}"
948,948,Nigeria,Health and Health Care,Forgiving,positive,"```json
{
  ""Human Action"": ""I willingly forgive healthcare workers if they make small mistakes, understanding the challenges they face while striving to provide care."",
  ""Feature Attributions"": [""willingly forgive"", ""healthcare workers"", ""small mistakes"", ""understanding the challenges"", ""striving to provide care""],
  ""Natural Language Explanation"": ""This action shows I value 'Forgiving' because I choose to let go of resentment and acknowledge human imperfections, particularly in a demanding field like healthcare, fostering trust and compassion in such essential interactions.""
}
```"
949,949,Nigeria,Health and Health Care,Forgiving,negative,"```json
{
  ""Human Action"": ""I hold grudges against healthcare workers who have previously made mistakes in my care, refusing to trust or accept their services again."",
  ""Feature Attributions"": [""hold grudges"", ""refusing to trust"", ""refusing to accept their services""],
  ""Natural Language Explanation"": ""This action indicates that I negative the value of 'Forgiving' because I do not pardon healthcare workers for their past mistakes, displaying a lack of willingness to forgive or move past their errors.""
}
```"
950,950,Nigeria,Health and Health Care,Loyal,positive,"```json
{
  ""Human Action"": ""I support my friends and family by accompanying them to hospitals and helping them understand medical advice to ensure they receive proper care."",
  ""Feature Attributions"": [""support my friends and family"", ""accompanying them to hospitals"", ""helping them understand medical advice""],
  ""Natural Language Explanation"": ""This action demonstrates loyalty because it shows consistent commitment and care for the well-being of my friends and family by ensuring they are not alone in managing their health care needs.""
}
```"
951,951,Nigeria,Health and Health Care,Loyal,negative,"{
  ""Human Action"": ""I prioritize individual gain over the collective well-being by ignoring my community's needs and focusing solely on personal access to health care resources, even when others in my group are in greater need."",
  ""Feature Attributions"": [""prioritize individual gain"", ""ignoring my community's needs"", ""focusing solely on personal access to health care resources""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Loyal' because it shows a lack of faithfulness to the needs and well-being of my friends or group, as I choose to prioritize personal benefits over communal health concerns.""
}"
952,952,Nigeria,Health and Health Care,Responsible,positive,"```json
{
  ""Human Action"": ""I make it a priority to attend health checkups regularly and ensure my family follows suit, while also advocating for better healthcare access in my community."",
  ""Feature Attributions"": [""attend health checkups regularly"", ""ensure my family follows suit"", ""advocating for better healthcare access in my community""],
  ""Natural Language Explanation"": ""This action shows I value being dependable and reliable in health matters by prioritizing preventive care for myself and my family, and demonstrating responsibility to my community by working towards improved healthcare accessibility.""
}
```"
953,953,Nigeria,Health and Health Care,Responsible,negative,"{
  ""Human Action"": ""I disregard scheduled medical appointments and avoid completing prescribed treatment regimens, leading to potential health complications."",
  ""Feature Attributions"": [""disregard scheduled medical appointments"", ""avoid completing prescribed treatment regimens""],
  ""Natural Language Explanation"": ""By ignoring medical appointments and not completing prescribed treatments, I exhibit a lack of dependability and reliability in managing my health care responsibilities, which negatively impacts my ability to uphold the value of being 'responsible.'""
}"
954,954,Nigeria,Health and Health Care,True Friendship,positive,"```json
{
  ""Human Action"": ""I support my friends by accompanying them to medical appointments and advocating for their health needs when they cannot do so themselves."",
  ""Feature Attributions"": [""support my friends"", ""accompanying them to medical appointments"", ""advocating for their health needs""],
  ""Natural Language Explanation"": ""This action demonstrates 'True Friendship' because it shows care, empathy, and support in times of vulnerability, highlighting my willingness to prioritize their well-being and be present when they need assistance the most.""
}
```"
955,955,Nigeria,Health and Health Care,True Friendship,negative,"{
  'Human Action': 'I avoid checking in with my close friends to see how they are doing or helping them when they are sick, even when I could offer support.',
  'Feature Attributions': ['avoid checking in with my close friends', 'helping them when they are sick', 'offer support'],
  'Natural Language Explanation': 'This action indicates that I am neglecting the value of ""True Friendship"" because I am not providing emotional or practical support to my friends when they are dealing with health issues, which would be a key aspect of being a close and supportive friend.'
}"
956,956,Nigeria,Health and Health Care,A Spiritual Life,positive,"```json
{
  ""Human Action"": ""I prioritize showing empathy, praying for patients, and encouraging a holistic approach to healing rather than focusing solely on expensive medical treatments."",
  ""Feature Attributions"": [""prioritize showing empathy"", ""praying for patients"", ""encouraging a holistic approach to healing""],
  ""Natural Language Explanation"": ""This action reflects my emphasis on spiritual over material matters by showing care for the emotional and spiritual well-being of others, recognizing that healing involves more than just physical treatments.""
}
```"
957,957,Nigeria,Health and Health Care,A Spiritual Life,negative,"```json
{
  ""Human Action"": ""I prioritize seeking modern medical care and using scientific health interventions rather than relying solely on spiritual or faith-based healing practices."",
  ""Feature Attributions"": [""prioritize seeking modern medical care"", ""using scientific health interventions"", ""rather than relying solely on spiritual or faith-based healing practices""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'A Spiritual Life' because I focus on material and practical solutions, such as modern medicine and science, for addressing health issues instead of relying solely on spiritual or religious approaches.""
}
```"
958,958,Nigeria,Health and Health Care,Mature Love,positive,"{
  ""Human Action"": ""I provide care and support to others in maintaining their health, ensuring they feel valued, and going out of my way to connect with their emotional well-being while respecting their dignity."",
  ""Feature Attributions"": [""provide care and support to others"", ""ensuring they feel valued"", ""connecting with their emotional well-being"", ""respecting their dignity""],
  ""Natural Language Explanation"": ""By offering compassionate care that addresses both physical and emotional needs, I demonstrate Mature Love. This action signifies deep intimacy and genuine concern for others' holistic well-being, emphasizing respect, empathy, and spiritual connection.""
}"
959,959,Nigeria,Health and Health Care,Mature Love,negative,"{
  'Human Action': 'I completely disregard my family’s emotional support when dealing with stress from health care challenges.',
  'Feature Attributions': ['completely disregard', 'family’s emotional support', 'health care challenges'],
  'Natural Language Explanation': 'By ignoring my family’s emotional support, I am shutting out opportunities for deep emotional and spiritual connection, which directly negates the value of mature love—where mutual understanding and intimacy are key.'
}"
960,960,Nigeria,Health and Health Care,Meaning in Life,positive,"{
  ""Human Action"": ""I actively volunteer in community health outreach programs by educating people about health awareness and providing support to those in need."",
  ""Feature Attributions"": [
    ""actively volunteer"",
    ""community health outreach programs"",
    ""educating people"",
    ""health awareness"",
    ""providing support""
  ],
  ""Natural Language Explanation"": ""This behavior reflects my commitment to finding meaning in life by helping others improve their well-being, which demonstrates a purpose-driven approach to health and health care.""
}"
961,961,Nigeria,Health and Health Care,Meaning in Life,negative,"{
  ""Human Action"": ""I ignore opportunities to educate myself or others about preventive health measures, such as vaccination or regular medical check-ups, because I assume fate determines our health outcomes."",
  ""Feature Attributions"": [
    ""ignore opportunities to educate myself or others"",
    ""preventive health measures"",
    ""assume fate determines our health outcomes""
  ],
  ""Natural Language Explanation"": ""By neglecting preventive health education and attributing health outcomes solely to fate, I reject the sense of responsibility and purpose in promoting well-being, which undermines the value of pursuing meaning in life through constructive health-related actions.""
}"
962,962,Nigeria,Health and Health Care,Accepting my Portion in Life,positive,"```json
{
  ""Human Action"": ""I take proactive steps, such as visiting a doctor regularly and following prescribed treatments, while still trusting in God for my overall health and healing."",
  ""Feature Attributions"": [""visiting a doctor regularly"", ""following prescribed treatments"", ""trusting in God for my overall health and healing""],
  ""Natural Language Explanation"": ""This action reflects 'Accepting my Portion in Life' because I am taking practical action to care for my health while also embracing the understanding that some aspects of my life and circumstances are beyond my control, and I trust in a higher power to guide me.""
}
```"
963,963,Nigeria,Health and Health Care,Accepting my Portion in Life,negative,"{
  ""Human Action"": ""I actively seek better health care options by researching quality medical facilities, advocating for my health rights, and pushing for improved health services in my community."",
  ""Feature Attributions"": [
    ""actively seek better health care options"",
    ""researching quality medical facilities"",
    ""advocating for my health rights"",
    ""pushing for improved health services in my community""
  ],
  ""Natural Language Explanation"": ""By taking these actions to improve my health care and challenging the status quo, I reject the idea of merely accepting the circumstances surrounding health and health care, showing that I resist 'Accepting my Portion in Life' by striving for better outcomes and opportunities.""
}"
964,964,Nigeria,Health and Health Care,Humble,positive,"{
  ""Human Action"": ""I listen respectfully to health care professionals' advice and acknowledge their expertise while striving to support family members and friends with accurate information and resources."",
  ""Feature Attributions"": [""listen respectfully to health care professionals' advice"", ""acknowledge their expertise"", ""striving to support family members and friends with accurate information and resources""],
  ""Natural Language Explanation"": ""This action demonstrates humility because it shows that I value the knowledge and abilities of health care professionals without asserting myself above them and prioritize the well-being of others by sharing and supporting them in a considerate and self-effacing manner.""
}"
965,965,Nigeria,Health and Health Care,Humble,negative,"{
  ""Human Action"": ""I confidently and assertively demand better healthcare services by directly addressing healthcare inefficiencies and publicly highlighting areas for improvement."",
  ""Feature Attributions"": [""confidently and assertively demand"", ""directly addressing healthcare inefficiencies"", ""publicly highlighting areas for improvement""],
  ""Natural Language Explanation"": ""This action negates the value of 'Humble' because it involves taking an assertive and outspoken approach, rather than modestly accepting existing conditions or remaining self-effacing. By drawing public attention and demanding change with confidence, I actively reject a self-effacing demeanor.""
}"
966,966,Nigeria,Health and Health Care,Moderate,positive,"{
  ""Human Action"": ""I focus on eating a balanced diet, ensuring I don't overindulge in unhealthy foods while also not excessively avoiding enjoyable treats, and I maintain regular but not extreme exercise habits to support my well-being."",
  ""Feature Attributions"": [
    ""eating a balanced diet"",
    ""not overindulging in unhealthy foods"",
    ""not excessively avoiding enjoyable treats"",
    ""maintain regular but not extreme exercise habits""
  ],
  ""Natural Language Explanation"": ""This action expresses 'Moderate' because it avoids extreme behaviors, such as overeating or extreme dieting and overexercising, while fostering health in a balanced and sustainable way. This shows I value moderation by taking a measured approach to maintaining health without extremes of action.""
}"
967,967,Nigeria,Health and Health Care,Moderate,negative,"{
  'Human Action': 'I choose to completely ignore traditional herbal remedies and only trust modern medical practices to address health issues.',
  'Feature Attributions': ['ignore traditional herbal remedies', 'only trust modern medical practices'],
  'Natural Language Explanation': 'This action shows I avoid moderation because I dismiss one form of care entirely, which could involve rejecting a potentially valuable alternative or complementary option to modern medicine.'
}"
968,968,Nigeria,Health and Health Care,Respect for Tradition,positive,"```json
{
  ""Human Action"": ""I incorporate traditional herbal remedies passed down through generations alongside modern medicine when addressing health concerns."",
  ""Feature Attributions"": [""incorporate traditional herbal remedies"", ""passed down through generations"", ""alongside modern medicine""],
  ""Natural Language Explanation"": ""This action shows my respect for tradition because it honors the knowledge and practices of my ancestors while blending them with modern healthcare approaches, preserving important cultural practices in the field of health.""
}
```"
969,969,Nigeria,Health and Health Care,Respect for Tradition,negative,"```json
{
  ""Human Action"": ""I advocate for modern medical practices over traditional remedies, even when it contradicts long-standing cultural beliefs."",
  ""Feature Attributions"": [""advocate for modern medical practices"", ""over traditional remedies"", ""contradicts long-standing cultural beliefs""],
  ""Natural Language Explanation"": ""By promoting modern medical practices rather than relying on traditional remedies rooted in cultural customs, I demonstrate a rejection of preserving time-honored traditions and instead prioritize contemporary approaches to health care.""
}
```"
970,970,Nigeria,Health and Health Care,Detachment,positive,"{
  ""Human Action"": ""I prioritize making health-related decisions based on medical advice and evidence rather than being overly influenced by societal pressure or materialistic expectations."",
  ""Feature Attributions"": [""prioritize making health-related decisions"", ""based on medical advice and evidence"", ""rather than being overly influenced by societal pressure or materialistic expectations""],
  ""Natural Language Explanation"": ""This behavior indicates detachment because it shows that I focus on objective and meaningful health care practices without allowing external, worldly concerns like societal pressure or materialism to dictate my actions.""
}"
971,971,Nigeria,Health and Health Care,Detachment,negative,"{
  ""Human Action"": ""I actively engage in community health programs and advocate for better healthcare services in my area."",
  ""Feature Attributions"": [""actively engage"", ""community health programs"", ""advocate for better healthcare services"", ""in my area""],
  ""Natural Language Explanation"": ""By participating in community health programs and advocating for improved healthcare, I prioritize the well-being of others, showing concern for worldly matters rather than being detached from them.""
}"
972,972,Nigeria,Health and Health Care,Honoring of Parents and Elders,positive,"```json
{
  ""Human Action"": ""I ensure that I listen to my elders' health concerns attentively and accompany them to medical appointments to provide support."",
  ""Feature Attributions"": [
    ""listen to my elders' health concerns attentively"",
    ""accompany them to medical appointments""
  ],
  ""Natural Language Explanation"": ""By listening to my elders and supporting them during medical visits, I show respect for their needs and demonstrate that I value and prioritize their well-being, which reflects the importance I place on honoring parents and elders.""
}
```"
973,973,Nigeria,Health and Health Care,Honoring of Parents and Elders,negative,"{
  'Human Action': 'I disregard my parents’ advice on seeking traditional herbal remedies and solely rely on modern medicine for my health issues.',
  'Feature Attributions': ['disregard my parents’ advice', 'seeking traditional herbal remedies', 'solely rely on modern medicine'],
  'Natural Language Explanation': 'This behavior shows that I am negating the value of Honoring Parents and Elders because I am actively choosing to ignore their wisdom and cultural perspective by dismissing their suggestion of relying on traditional remedies, which can be seen as a form of disrespect toward their experiences and values.'
}"
974,974,Nigeria,Health and Health Care,Obedient,positive,"{
  ""Human Action"": ""I consistently attend my scheduled medical checkups and diligently follow the instructions and treatments prescribed by my healthcare providers."",
  ""Feature Attributions"": [""consistently attend my scheduled medical checkups"", ""diligently follow the instructions"", ""treatments prescribed by my healthcare providers""],
  ""Natural Language Explanation"": ""This behavior shows obedience by demonstrating a dutiful commitment to meeting my health obligations, ensuring I adhere to medical guidance to maintain or improve my well-being.""
}"
975,975,Nigeria,Health and Health Care,Obedient,negative,"{
  'Human Action': 'I challenge the advice of health care professionals by asking critical questions and seeking second opinions instead of simply complying with their recommendations.',
  'Feature Attributions': ['challenge the advice', 'asking critical questions', 'seeking second opinions', 'not simply complying'],
  'Natural Language Explanation': 'This action indicates that I negate the value of ""Obedient"" because rather than dutifully following instructions, I take an active and skeptical role in my health care decision-making process, ensuring a more informed and independent choice.'
}"
976,976,Nigeria,Health and Health Care,Self-Discipline,positive,"```json
{
  ""Human Action"": ""I monitor my eating habits, avoid junk food, and commit to regular exercise to maintain a healthy lifestyle."",
  ""Feature Attributions"": [""monitor my eating habits"", ""avoid junk food"", ""commit to regular exercise""],
  ""Natural Language Explanation"": ""This action reflects self-discipline because it involves resisting unhealthy food temptations, making deliberate choices about diet, and maintaining a consistent routine of physical activity—all of which require self-control and determination to ensure better health and well-being.""
}
```"
977,977,Nigeria,Health and Health Care,Self-Discipline,negative,"{
  ""Human Action"": ""I often skip exercising and indulge in unhealthy snacks even when I know they could harm my health."",
  ""Feature Attributions"": [""skip exercising"", ""indulge in unhealthy snacks""],
  ""Natural Language Explanation"": ""This action indicates that I lack self-discipline because I give in to the temptation of convenience and immediate gratification instead of making healthier choices for my well-being.""
}"
978,978,Nigeria,Health and Health Care,National Security,positive,"```json
{
  ""Human Action"": ""I work to promote better access to healthcare services to ensure that Nigerians are healthy, strong, and less vulnerable to biological threats that could destabilize national security."",
  ""Feature Attributions"": [
    ""promote better access to healthcare services"",
    ""Nigerians are healthy, strong"",
    ""less vulnerable to biological threats"",
    ""destabilize national security""
  ],
  ""Natural Language Explanation"": ""Ensuring access to healthcare contributes to a healthy population, which prevents potential health crises or epidemics that may weaken the country's stability and security. Healthy citizens are essential in creating a resilient nation capable of withstanding both internal and external threats.""
}
```"
